City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Kuliyapitiya,LK,2020-12-28 01:00:56,7.47,80.04,73.4,100,0,2.24,clear sky
109,Hermanus,ZA,2020-12-28 00:53:17,-34.42,19.23,59.0,86,35,12.68,scattered clouds
110,Lavrentiya,RU,2020-12-28 00:59:09,65.58,-171.0,8.83,91,100,21.74,overcast clouds
111,Severo-Kurilsk,RU,2020-12-28 00:53:26,50.68,156.12,25.81,96,100,16.75,snow
112,Cayenne,GF,2020-12-28 00:53:46,4.93,-52.33,77.0,100,0,10.45,clear sky
113,Puerto Madryn,AR,2020-12-28 00:58:04,-42.77,-65.04,75.36,48,100,18.9,overcast clouds
114,Port-Gentil,GA,2020-12-28 00:59:50,-0.72,8.78,80.51,79,99,4.32,light rain
115,Road Town,VG,2020-12-28 00:53:55,18.42,-64.62,77.0,83,40,4.7,scattered clouds
116,Medicine Hat,CA,2020-12-28 01:00:42,50.05,-110.67,19.4,85,90,3.87,overcast clouds
117,Northam,GB,2020-12-28 00:53:33,51.03,-4.22,44.01,83,75,7.0,broken clouds
118,San Andres,CO,2020-12-28 00:54:24,12.58,-81.7,77.0,88,90,9.17,light rain
119,Yumen,CN,2020-12-28 00:55:22,40.28,97.2,14.11,87,100,1.59,overcast clouds
120,Bathsheba,BB,2020-12-28 00:54:14,13.22,-59.52,78.8,83,20,17.22,few clouds
121,Palanga,LT,2020-12-28 01:00:59,55.92,21.07,30.2,68,0,17.22,clear sky
122,Margate,GB,2020-12-28 00:55:18,51.38,1.39,43.0,96,94,1.99,overcast clouds
123,Bengkulu,ID,2020-12-28 00:51:31,-3.8,102.27,79.57,75,94,3.49,light rain
124,Kavieng,PG,2020-12-28 00:54:32,-2.57,150.8,85.73,64,17,10.25,few clouds
125,Mosbach,DE,2020-12-28 01:01:00,49.35,9.14,41.0,94,100,7.0,light rain
126,Airai,TL,2020-12-28 00:54:04,-8.93,125.41,70.75,83,100,1.7,overcast clouds
127,Harper,LR,2020-12-28 00:54:12,4.38,-7.72,78.3,86,100,6.6,overcast clouds
128,Manggar,ID,2020-12-28 00:54:10,-2.88,108.27,82.51,77,100,7.96,light rain
129,Beyneu,KZ,2020-12-28 00:53:54,45.32,55.2,25.29,93,100,10.45,overcast clouds
130,Hays,US,2020-12-28 01:01:01,30.05,-98.03,64.0,60,0,6.2,clear sky
131,Khor,RU,2020-12-28 01:01:01,47.89,134.95,-6.21,79,0,12.19,clear sky
132,Shaunavon,CA,2020-12-28 01:01:01,49.65,-108.42,15.8,85,81,10.29,broken clouds
133,Natal,BR,2020-12-28 00:55:01,-5.79,-35.21,80.6,74,40,13.87,scattered clouds
134,Shimoda,JP,2020-12-28 00:54:55,34.67,138.95,50.0,87,75,4.7,light rain
135,Nanortalik,GL,2020-12-28 00:53:30,60.14,-45.24,39.69,85,100,20.33,light rain
136,Arraial Do Cabo,BR,2020-12-28 00:53:35,-22.97,-42.03,75.2,94,0,8.05,clear sky
137,Kano,NG,2020-12-28 01:01:02,12.0,8.52,59.0,58,0,2.24,clear sky
138,Lakatoro,VU,2020-12-28 01:01:02,-16.1,167.42,86.0,74,40,9.17,light rain
139,Cape Town,ZA,2020-12-28 00:51:20,-33.93,18.42,64.0,72,0,16.11,clear sky
140,Esperance,AU,2020-12-28 00:59:50,-33.87,121.9,62.6,48,0,9.17,clear sky
141,Chapais,CA,2020-12-28 00:52:56,49.78,-74.85,6.8,84,90,6.93,light snow
142,Ponta Do Sol,PT,2020-12-28 00:54:05,32.67,-17.1,60.8,72,20,12.75,few clouds
143,Balkanabat,TM,2020-12-28 00:54:43,39.51,54.37,37.96,64,0,5.86,clear sky
144,Wonthaggi,AU,2020-12-28 01:01:04,-38.6,145.59,66.0,51,100,7.94,overcast clouds
145,Aksu,CN,2020-12-28 00:54:40,41.12,80.26,16.79,90,5,1.99,clear sky
146,Kieta,PG,2020-12-28 01:01:04,-6.22,155.63,85.15,69,80,5.12,light rain
147,Nikolskoye,RU,2020-12-28 00:53:42,59.7,30.79,28.4,86,90,8.95,overcast clouds
148,Tasgaon,IN,2020-12-28 01:01:05,17.03,74.6,63.64,57,97,2.68,overcast clouds
149,Tshikapa,CD,2020-12-28 00:54:39,-6.42,20.8,70.83,90,99,0.76,overcast clouds
150,Macapa,BR,2020-12-28 00:58:52,0.04,-51.07,80.6,88,75,3.36,moderate rain
151,Grindavik,IS,2020-12-28 00:53:35,63.84,-22.43,33.8,69,0,29.97,clear sky
152,Pevek,RU,2020-12-28 00:53:40,69.7,170.31,-22.86,87,84,3.24,broken clouds
153,Touros,BR,2020-12-28 00:53:24,-5.2,-35.46,77.0,83,40,8.05,scattered clouds
154,Lethem,GY,2020-12-28 00:59:35,3.38,-59.8,79.65,72,100,8.88,overcast clouds
155,Cherskiy,RU,2020-12-28 00:53:48,68.75,161.3,-33.05,83,0,2.62,clear sky
156,Talnakh,RU,2020-12-28 00:53:51,69.49,88.4,-36.4,73,0,6.71,clear sky
157,Provideniya,RU,2020-12-28 00:53:41,64.38,-173.3,8.74,92,100,28.86,overcast clouds
158,Nabire,ID,2020-12-28 01:01:07,-3.37,135.48,75.97,90,100,2.93,light rain
159,Pontianak,ID,2020-12-28 00:56:18,-0.03,109.33,80.42,84,5,3.04,clear sky
160,Mwinilunga,ZM,2020-12-28 01:01:08,-11.74,24.43,64.4,96,100,3.8,light rain
