City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Taloqan,AF,2020-12-24 21:46:28,36.74,69.53,45.48,50,100,6.31
134,Derzhavinsk,KZ,2020-12-24 21:46:28,51.1,66.32,5.18,94,86,3.62
135,Pineville,US,2020-12-24 21:45:49,31.32,-92.43,46.4,36,1,24.16
136,Concepcion,CL,2020-12-24 21:42:00,-36.83,-73.05,69.8,56,0,19.46
137,Pangody,RU,2020-12-24 21:46:29,65.85,74.49,-40.5,81,26,5.08
138,Saint-Pierre,RE,2020-12-24 21:46:29,-21.34,55.48,77.0,78,71,2.24
139,Souillac,MU,2020-12-24 21:46:29,-20.52,57.52,78.8,88,75,11.41
140,Orchard Homes,US,2020-12-24 21:46:29,46.86,-114.05,37.0,73,1,2.91
141,Guane,CU,2020-12-24 21:46:30,22.2,-84.09,79.18,71,12,5.48
142,Paita,PE,2020-12-24 21:46:30,-5.09,-81.11,71.08,73,67,17.72
143,Adre,TD,2020-12-24 21:46:30,13.47,22.2,68.34,25,18,11.14
144,Richards Bay,ZA,2020-12-24 21:45:26,-28.78,32.04,71.35,89,97,9.46
145,Carutapera,BR,2020-12-24 21:46:30,-1.2,-46.02,78.85,78,91,7.29
146,Severo-Kurilsk,RU,2020-12-24 21:46:31,50.68,156.12,22.42,94,100,8.7
147,Hobyo,SO,2020-12-24 21:46:31,5.35,48.53,76.26,71,24,15.43
148,Lewistown,US,2020-12-24 21:46:31,40.6,-77.57,50.0,100,90,2.33
149,Geraldton,AU,2020-12-24 21:46:31,-28.77,114.6,64.4,72,90,4.7
150,Araouane,ML,2020-12-24 21:46:31,18.9,-3.53,70.29,22,100,9.13
151,Sao Filipe,CV,2020-12-24 21:46:32,14.9,-24.5,71.53,67,74,5.41
152,Maduao,PH,2020-12-24 21:46:32,7.29,125.63,77.0,100,40,2.24
153,Marystown,CA,2020-12-24 21:46:32,47.17,-55.15,32.58,90,45,8.08
154,Svetlogorsk,BY,2020-12-24 21:46:32,52.63,29.73,35.62,98,100,10.16
155,Honiara,SB,2020-12-24 21:46:33,-9.43,159.95,85.41,64,21,2.8
156,Ahuimanu,US,2020-12-24 21:46:33,21.44,-157.84,80.6,65,40,10.29
157,Belaya Gora,RU,2020-12-24 21:46:33,68.53,146.42,-14.82,88,100,15.88
158,Rosarito,MX,2020-12-24 21:46:34,32.33,-117.03,66.2,9,90,3.36
159,Cyangugu,RW,2020-12-24 21:46:34,-2.48,28.91,59.58,87,0,0.54
160,Hastings,GB,2020-12-24 21:43:09,50.86,0.57,39.0,73,1,5.01
161,Saint-Philippe,RE,2020-12-24 21:46:34,-21.36,55.77,77.0,78,84,2.24
162,Swan Hill,AU,2020-12-24 21:46:34,-35.34,143.55,59.94,54,16,10.11
163,Shellbrook,CA,2020-12-24 21:46:35,53.22,-106.4,21.2,85,75,8.97
164,Perth,AU,2020-12-24 21:42:39,-31.93,115.83,66.2,55,0,3.78
165,Umba,RU,2020-12-24 21:46:35,66.69,34.34,11.88,93,99,14.38
166,Kurara,IN,2020-12-24 21:46:35,25.98,79.98,54.55,44,0,4.27
167,Ust-Tsilma,RU,2020-12-24 21:46:36,65.44,52.15,-23.33,85,86,5.61
168,Te Anau,NZ,2020-12-24 21:46:36,-45.42,167.72,56.03,47,20,4.47
169,Antalaha,MG,2020-12-24 21:46:36,-14.9,50.28,72.93,88,14,6.73
170,Kenai,US,2020-12-24 21:46:36,60.55,-151.26,28.0,92,1,5.82
171,Jalingo,NG,2020-12-24 21:46:37,8.88,11.37,76.87,24,14,4.85
172,Huarmey,PE,2020-12-24 21:46:37,-10.07,-78.15,71.38,73,48,8.86
173,Samarai,PG,2020-12-24 21:46:37,-10.62,150.67,83.48,70,99,2.66
174,Marzuq,YE,2020-12-24 21:46:38,14.4,46.47,61.39,40,1,2.46
175,Kodiak,US,2020-12-24 21:46:38,57.79,-152.41,39.2,86,90,18.34
176,Nouakchott,MR,2020-12-24 21:45:00,18.09,-15.98,64.4,68,100,5.82
177,Trinidad,BO,2020-12-24 21:46:38,-14.83,-64.9,91.4,63,20,12.75
178,Iquique,CL,2020-12-24 21:42:27,-20.22,-70.14,73.4,64,0,19.46
179,Hailey,US,2020-12-24 21:46:38,43.52,-114.32,30.2,42,5,2.44
180,Uarini,BR,2020-12-24 21:42:55,-2.99,-65.11,82.4,83,20,3.36
181,Port Blair,IN,2020-12-24 21:45:29,11.67,92.75,77.76,78,12,11.07
